Movie ID,Movie Title,Year,Director,Duration,Language,Country,Rating,Actor 1,Actor 2,Actor 3,Budget,Gross,Genre,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Number of Critics,Votes,IMDB Link,IMDB Score,Aspect Ratio,Color
1128,Avatar ,2009,James Cameron,178,English,USA,PG-13,CCH Pounder,Joel David Moore,Wes Studi,US$237000000.00,US$760505847.00,Horror,Horror,,,,,723,886204,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,7.9,1.78,Color
1130,Pirates of the Caribbean: At World's End ,2007,Gore Verbinski,169,English,USA,PG-13,Johnny Depp,Orlando Bloom,Jack Davenport,US$300000000.00,US$309404152.00,Horror|Mystery,Horror,Mystery,,,,302,471220,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,7.1,2.35,Color
1135,Spectre ,2015,Sam Mendes,148,English,UK,PG-13,Christoph Waltz,Rory Kinnear,Stephanie Sigman,US$245000000.00,US$200074175.00,Comedy,Comedy,,,,,602,275868,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,6.8,2.35,Color
1196,The Dark Knight Rises ,2012,Christopher Nolan,164,English,USA,PG-13,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,US$250000000.00,US$448130642.00,Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,813,1144337,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,8.5,2.35,Color
1220,John Carter ,2012,Andrew Stanton,132,English,USA,PG-13,Daryl Sabara,Samantha Morton,Polly Walker,US$263700000.00,US$73058679.00,Action|Comedy|Musical,Action,Comedy,Musical,,,462,212204,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,6.6,2.35,Color
1228,Spider-Man 3,2007,Sam Raimi,156,English,USA,PG-13,J.K. Simmons,James Franco,Kirsten Dunst,US$258000000.00,US$336530303.00,Drama,Drama,,,,,392,383071,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,6.2,2.35,Color
1258,Tangled ,2010,Nathan Greno,100,English,USA,PG,Brad Garrett,Donna Murphy,M.C. Gainey,US$260000000.00,US$200807262.00,Horror,Horror,,,,,324,294810,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,7.8,1.85,Color
1286,Avengers: Age of Ultron ,2015,Joss Whedon,141,English,USA,PG-13,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,US$250000000.00,US$458991599.00,Drama|Romance,Drama,Romance,,,,635,462669,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,7.5,2.35,Color
1956,Harry Potter and the Half-Blood Prince ,2009,David Yates,153,English,UK,PG,Alan Rickman,Daniel Radcliffe,Rupert Grint,US$250000000.00,US$301956980.00,Drama,Drama,,,,,375,321795,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,7.5,2.35,Color
1974,Batman v Superman: Dawn of Justice ,2016,Zack Snyder,183,English,USA,PG-13,Henry Cavill,Lauren Cohan,Alan D. Purwin,US$250000000.00,US$330249062.00,Horror|Mystery|Thriller,Horror,Mystery,Thriller,,,673,371639,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,6.9,2.35,Color
